"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_13:00",237,0.95,1317
"2",2,"2019-02-15_14:00",237,0.95,1317
"3",3,"2019-02-15_16:00",237,0.95,1320
"4",4,"2019-02-15_17:00",238,0.95,1322
"5",5,"2019-02-15_18:00",238,0.95,1323
"6",6,"2019-02-15_19:00",238,0.95,1327
"7",7,"2019-02-15_20:00",238,0.95,1324
"8",8,"2019-02-15_21:00",238,0.95,1322
"9",9,"2019-02-15_22:00",238,0.95,1328
"10",10,"2019-02-15_23:00",238,0.95,1326
"11",11,"2019-02-16_00:00",239,0.95,1328
"12",12,"2019-02-16_01:00",239,0.95,1323
"13",13,"2019-02-16_02:00",239,0.95,1323
"14",14,"2019-02-16_03:00",238,0.95,1328
"15",15,"2019-02-16_04:00",238,0.95,1325
"16",16,"2019-02-16_05:00",238,0.95,1323
"17",17,"2019-02-16_06:00",238,0.95,1325
