"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_08:00",1881,0.94,17254
"2",2,"2019-02-15_09:00",2231,0.94,20998
"3",3,"2019-02-15_10:00",2493,0.93,24356
"4",4,"2019-02-15_11:00",2744,0.93,27186
"5",5,"2019-02-15_12:00",2959,0.92,29755
"6",6,"2019-02-15_13:00",3105,0.92,31945
"7",7,"2019-02-15_14:00",3265,0.92,33992
"8",8,"2019-02-15_16:00",3546,0.91,37792
"9",9,"2019-02-15_17:00",3674,0.91,39434
"10",10,"2019-02-15_18:00",3749,0.91,40873
"11",11,"2019-02-15_19:00",3818,0.91,42101
"12",12,"2019-02-15_20:00",3897,0.91,43061
"13",13,"2019-02-15_21:00",3949,0.9,43701
"14",14,"2019-02-15_22:00",4000,0.9,44313
"15",15,"2019-02-15_23:00",4058,0.9,45035
"16",16,"2019-02-16_00:00",4076,0.9,45331
"17",17,"2019-02-16_01:00",4087,0.9,45494
"18",18,"2019-02-16_02:00",4113,0.9,45588
"19",19,"2019-02-16_03:00",4123,0.9,45638
"20",20,"2019-02-16_04:00",4129,0.9,45681
"21",21,"2019-02-16_05:00",4132,0.9,45720
"22",22,"2019-02-16_06:00",4133,0.9,45750
"23",23,"2019-02-16_07:00",4136,0.9,45781
"24",24,"2019-02-16_08:00",4137,0.9,45800
"25",25,"2019-02-16_09:00",4141,0.9,45817
"26",26,"2019-02-16_10:00",4141,0.9,45829
"27",27,"2019-02-16_11:00",4141,0.9,45842
"28",28,"2019-02-16_12:00",4142,0.9,45853
"29",29,"2019-02-16_13:00",4144,0.9,45854
"30",30,"2019-02-16_14:00",4144,0.9,45871
"31",31,"2019-02-16_15:00",4143,0.9,45879
"32",32,"2019-02-16_16:00",4144,0.9,45880
"33",33,"2019-02-16_17:00",4143,0.9,45889
"34",34,"2019-02-16_18:00",4143,0.9,45882
"35",35,"2019-02-16_19:00",4142,0.9,45895
"36",36,"2019-02-16_20:00",4142,0.9,45895
