"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_12:00",1,0.79,8
"2",2,"2019-02-15_13:00",1,0.8,9
"3",3,"2019-02-15_14:00",1,0.75,8
"4",4,"2019-02-15_15:00",1,0.82,11
"5",5,"2019-02-15_16:00",1,0.81,10
"6",6,"2019-02-15_17:00",1,0.74,9
"7",7,"2019-02-15_18:00",1,0.8,12
"8",8,"2019-02-15_19:00",1,0.83,12
"9",9,"2019-02-15_20:00",1,0.76,11
"10",10,"2019-02-15_21:00",1,0.73,10
"11",11,"2019-02-15_22:00",1,0.81,13
"12",12,"2019-02-15_23:00",1,0.82,14
"13",13,"2019-02-16_00:00",1,0.81,13
"14",14,"2019-02-16_01:00",1,0.83,16
