"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_08:00",3,0.8,9
"2",2,"2019-02-15_09:00",3,0.83,12
"3",3,"2019-02-15_10:00",4,0.86,16
"4",4,"2019-02-15_11:00",4,0.82,16
"5",5,"2019-02-15_12:00",6,0.74,13
"6",6,"2019-02-15_13:00",6,0.77,16
"7",7,"2019-02-15_14:00",6,0.8,19
"8",8,"2019-02-15_15:00",6,0.82,22
"9",9,"2019-02-15_16:00",6,0.78,20
"10",10,"2019-02-15_17:00",6,0.79,20
"11",11,"2019-02-15_18:00",6,0.8,22
"12",12,"2019-02-15_19:00",6,0.8,25
"13",13,"2019-02-15_20:00",6,0.79,25
"14",14,"2019-02-15_21:00",6,0.79,25
"15",15,"2019-02-15_22:00",6,0.77,23
"16",16,"2019-02-15_23:00",6,0.77,24
