"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_13:00",67,0.44,0
"2",2,"2019-02-15_14:00",68,0.45,0
"3",3,"2019-02-15_16:00",72,0.44,0
"4",4,"2019-02-15_17:00",73,0.43,0
"5",5,"2019-02-15_18:00",73,0.46,0
"6",6,"2019-02-15_19:00",73,0.44,0
"7",7,"2019-02-15_20:00",70,0.44,0
"8",8,"2019-02-15_21:00",70,0.46,0
"9",9,"2019-02-15_22:00",70,0.44,0
"10",10,"2019-02-15_23:00",70,0.44,0
"11",11,"2019-02-16_00:00",70,0.46,0
"12",12,"2019-02-16_01:00",79,0.45,0
"13",13,"2019-02-16_02:00",82,0.43,0
"14",14,"2019-02-16_03:00",83,0.44,0
"15",15,"2019-02-16_04:00",83,0.43,0
"16",16,"2019-02-16_05:00",85,0.43,0
"17",17,"2019-02-16_06:00",92,0.45,0
"18",18,"2019-02-16_07:00",93,0.43,0
"19",19,"2019-02-16_08:00",94,0.45,0
"20",20,"2019-02-16_09:00",94,0.44,0
"21",21,"2019-02-16_10:00",94,0.47,0
"22",22,"2019-02-16_11:00",94,0.44,0
"23",23,"2019-02-16_12:00",94,0.44,0
