"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_13:00",12,0.88,49
"2",2,"2019-02-15_14:00",12,0.87,56
"3",3,"2019-02-15_16:00",23,0.92,95
"4",4,"2019-02-15_17:00",28,0.93,104
"5",5,"2019-02-15_18:00",31,0.92,113
"6",6,"2019-02-15_19:00",32,0.93,136
"7",7,"2019-02-15_20:00",34,0.93,149
"8",8,"2019-02-15_21:00",36,0.94,158
"9",9,"2019-02-15_22:00",45,0.94,162
"10",10,"2019-02-15_23:00",46,0.94,171
"11",11,"2019-02-16_00:00",50,0.94,173
"12",12,"2019-02-16_01:00",54,0.94,186
"13",13,"2019-02-16_02:00",58,0.94,190
"14",14,"2019-02-16_03:00",65,0.94,187
"15",15,"2019-02-16_04:00",74,0.93,191
"16",16,"2019-02-16_05:00",82,0.93,195
"17",17,"2019-02-16_06:00",87,0.93,193
"18",18,"2019-02-16_07:00",87,0.93,191
"19",19,"2019-02-16_08:00",87,0.94,193
"20",20,"2019-02-16_09:00",87,0.94,194
"21",21,"2019-02-16_10:00",87,0.94,195
"22",22,"2019-02-16_11:00",87,0.94,194
"23",23,"2019-02-16_12:00",87,0.94,197
"24",24,"2019-02-16_13:00",87,0.94,198
"25",25,"2019-02-16_14:00",87,0.94,195
"26",26,"2019-02-16_15:00",87,0.94,195
"27",27,"2019-02-16_16:00",87,0.94,196
"28",28,"2019-02-16_17:00",87,0.94,198
"29",29,"2019-02-16_18:00",88,0.94,198
"30",30,"2019-02-16_19:00",88,0.94,201
