"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_13:00",14,0.88,70
"2",2,"2019-02-15_14:00",25,0.88,98
"3",3,"2019-02-15_16:00",52,0.9,287
"4",4,"2019-02-15_17:00",65,0.93,527
"5",5,"2019-02-15_18:00",90,0.93,873
"6",6,"2019-02-15_19:00",128,0.94,1438
"7",7,"2019-02-15_20:00",207,0.94,2311
"8",8,"2019-02-15_21:00",294,0.94,3211
"9",9,"2019-02-15_22:00",384,0.93,4026
"10",10,"2019-02-15_23:00",442,0.92,5147
"11",11,"2019-02-16_00:00",523,0.92,6667
"12",12,"2019-02-16_01:00",590,0.91,7531
"13",13,"2019-02-16_02:00",595,0.91,7607
"14",14,"2019-02-16_03:00",605,0.91,7644
"15",15,"2019-02-16_04:00",611,0.91,7668
"16",16,"2019-02-16_05:00",614,0.91,7675
"17",17,"2019-02-16_06:00",618,0.91,7692
"18",18,"2019-02-16_07:00",620,0.91,7697
"19",19,"2019-02-16_08:00",626,0.91,7709
"20",20,"2019-02-16_09:00",635,0.91,7719
"21",21,"2019-02-16_10:00",646,0.91,7729
"22",22,"2019-02-16_11:00",654,0.91,7740
"23",23,"2019-02-16_12:00",657,0.91,7742
"24",24,"2019-02-16_13:00",660,0.91,7752
"25",25,"2019-02-16_14:00",662,0.91,7757
"26",26,"2019-02-16_15:00",662,0.91,7758
"27",27,"2019-02-16_16:00",663,0.91,7764
"28",28,"2019-02-16_17:00",666,0.91,7766
"29",29,"2019-02-16_18:00",669,0.91,7773
"30",30,"2019-02-16_19:00",671,0.91,7771
"31",31,"2019-02-16_20:00",671,0.91,7771
"32",32,"2019-02-16_21:00",671,0.91,7781
"33",33,"2019-02-16_22:00",674,0.91,7781
"34",34,"2019-02-16_23:00",676,0.91,7779
"35",35,"2019-02-17_00:00",677,0.91,7779
"36",36,"2019-02-17_01:00",677,0.91,7785
"37",37,"2019-02-17_02:00",678,0.91,7781
"38",38,"2019-02-17_03:00",678,0.91,7794
"39",39,"2019-02-17_04:00",678,0.91,7791
"40",40,"2019-02-17_05:00",678,0.91,7794
"41",41,"2019-02-17_06:00",679,0.91,7795
"42",42,"2019-02-17_07:00",682,0.91,7795
"43",43,"2019-02-17_08:00",682,0.91,7794
