"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_13:00",12,0.57,1
"2",2,"2019-02-15_14:00",17,0.75,4
"3",3,"2019-02-15_16:00",25,0.67,4
"4",4,"2019-02-15_17:00",28,0.67,4
"5",5,"2019-02-15_18:00",30,0.75,6
"6",6,"2019-02-15_19:00",35,0.77,7
"7",7,"2019-02-15_20:00",36,0.8,9
"8",8,"2019-02-15_21:00",37,0.77,7
"9",9,"2019-02-15_22:00",41,0.69,6
"10",10,"2019-02-15_23:00",42,0.73,8
"11",11,"2019-02-16_00:00",42,0.77,9
"12",12,"2019-02-16_01:00",43,0.78,10
"13",13,"2019-02-16_02:00",44,0.78,12
"14",14,"2019-02-16_03:00",44,0.82,14
"15",15,"2019-02-16_04:00",45,0.82,14
"16",16,"2019-02-16_05:00",49,0.78,12
"17",17,"2019-02-16_06:00",49,0.79,13
"18",18,"2019-02-16_07:00",52,0.85,15
"19",19,"2019-02-16_08:00",53,0.77,11
"20",20,"2019-02-16_09:00",53,0.77,11
"21",21,"2019-02-16_10:00",57,0.82,14
"22",22,"2019-02-16_11:00",57,0.81,13
"23",23,"2019-02-16_12:00",57,0.86,15
"24",24,"2019-02-16_13:00",57,0.81,13
"25",25,"2019-02-16_14:00",57,0.78,12
"26",26,"2019-02-16_15:00",56,0.78,12
"27",27,"2019-02-16_16:00",56,0.81,13
"28",28,"2019-02-16_17:00",56,0.78,12
"29",29,"2019-02-16_18:00",56,0.83,15
"30",30,"2019-02-16_19:00",56,0.83,15
