"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_18:00",5,0.82,45
"2",2,"2019-02-15_19:00",8,0.86,67
"3",3,"2019-02-15_20:00",13,0.9,104
"4",4,"2019-02-15_21:00",23,0.89,119
"5",5,"2019-02-15_22:00",30,0.89,120
"6",6,"2019-02-15_23:00",35,0.88,134
"7",7,"2019-02-16_00:00",38,0.88,147
"8",8,"2019-02-16_01:00",49,0.88,172
"9",9,"2019-02-16_02:00",57,0.87,172
"10",10,"2019-02-16_03:00",56,0.88,182
"11",11,"2019-02-16_04:00",56,0.88,182
"12",12,"2019-02-16_05:00",61,0.88,189
"13",13,"2019-02-16_06:00",64,0.88,187
"14",14,"2019-02-16_07:00",65,0.88,194
"15",15,"2019-02-16_08:00",66,0.88,196
"16",16,"2019-02-16_09:00",67,0.88,197
"17",17,"2019-02-16_10:00",68,0.88,196
"18",18,"2019-02-16_11:00",68,0.88,195
"19",19,"2019-02-16_12:00",68,0.87,197
"20",20,"2019-02-16_13:00",69,0.87,195
"21",21,"2019-02-16_14:00",70,0.87,202
"22",22,"2019-02-16_15:00",70,0.87,202
"23",23,"2019-02-16_16:00",70,0.88,204
"24",24,"2019-02-16_17:00",70,0.88,200
"25",25,"2019-02-16_18:00",70,0.88,198
"26",26,"2019-02-16_19:00",70,0.88,203
"27",27,"2019-02-16_20:00",70,0.88,203
"28",28,"2019-02-16_21:00",70,0.88,205
"29",29,"2019-02-16_22:00",70,0.88,203
"30",30,"2019-02-16_23:00",70,0.88,206
"31",31,"2019-02-17_00:00",70,0.88,207
"32",32,"2019-02-17_01:00",70,0.88,207
