"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_20:00",2,0.62,2
"2",2,"2019-02-15_21:00",4,0.57,1
"3",3,"2019-02-15_22:00",4,0.62,2
"4",4,"2019-02-15_23:00",4,0.6,2
"5",5,"2019-02-16_00:00",4,0.58,2
"6",6,"2019-02-16_01:00",4,0.73,5
"7",7,"2019-02-16_02:00",4,0.72,6
"8",8,"2019-02-16_03:00",4,0.75,6
"9",9,"2019-02-16_04:00",4,0.69,6
"10",10,"2019-02-16_05:00",4,0.77,7
"11",11,"2019-02-16_06:00",4,0.65,4
"12",12,"2019-02-16_07:00",4,0.77,7
"13",13,"2019-02-16_08:00",4,0.78,8
"14",14,"2019-02-16_09:00",4,0.65,4
"15",15,"2019-02-16_10:00",5,0.7,5
"16",16,"2019-02-16_11:00",5,0.65,4
