"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_19:00",12,0.91,41
"2",2,"2019-02-15_20:00",22,0.93,105
"3",3,"2019-02-15_21:00",35,0.94,162
"4",4,"2019-02-15_22:00",51,0.94,248
"5",5,"2019-02-15_23:00",68,0.93,383
"6",6,"2019-02-16_00:00",86,0.93,639
"7",7,"2019-02-16_01:00",133,0.94,1132
"8",8,"2019-02-16_02:00",155,0.94,1358
"9",9,"2019-02-16_03:00",165,0.94,1476
"10",10,"2019-02-16_04:00",183,0.94,1570
"11",11,"2019-02-16_05:00",199,0.94,1645
"12",12,"2019-02-16_06:00",217,0.94,1716
"13",13,"2019-02-16_07:00",220,0.94,1776
"14",14,"2019-02-16_08:00",230,0.94,1842
"15",15,"2019-02-16_09:00",240,0.94,1912
"16",16,"2019-02-16_10:00",256,0.94,1985
"17",17,"2019-02-16_11:00",266,0.94,2061
"18",18,"2019-02-16_12:00",275,0.94,2134
"19",19,"2019-02-16_13:00",277,0.94,2200
"20",20,"2019-02-16_14:00",285,0.94,2278
"21",21,"2019-02-16_15:00",285,0.94,2287
"22",22,"2019-02-16_16:00",286,0.94,2298
"23",23,"2019-02-16_17:00",287,0.94,2305
"24",24,"2019-02-16_18:00",287,0.94,2317
"25",25,"2019-02-16_19:00",287,0.94,2319
"26",26,"2019-02-16_20:00",288,0.94,2320
"27",27,"2019-02-16_21:00",288,0.94,2324
"28",28,"2019-02-16_22:00",289,0.94,2325
"29",29,"2019-02-16_23:00",289,0.94,2323
"30",30,"2019-02-17_00:00",288,0.94,2325
"31",31,"2019-02-17_01:00",288,0.94,2325
"32",32,"2019-02-17_02:00",288,0.94,2326
"33",33,"2019-02-17_03:00",289,0.94,2331
"34",34,"2019-02-17_04:00",290,0.94,2335
"35",35,"2019-02-17_05:00",289,0.94,2334
"36",36,"2019-02-17_06:00",289,0.94,2329
"37",37,"2019-02-17_07:00",289,0.94,2338
"38",38,"2019-02-17_08:00",290,0.94,2337
"39",39,"2019-02-17_09:00",290,0.94,2332
"40",40,"2019-02-17_10:00",290,0.94,2334
"41",41,"2019-02-17_11:00",290,0.94,2334
