"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_23:00",7,0.94,123
"2",2,"2019-02-16_00:00",17,0.95,348
"3",3,"2019-02-16_01:00",102,0.97,1504
"4",4,"2019-02-16_02:00",252,0.97,4245
"5",5,"2019-02-16_03:00",340,0.97,6652
"6",6,"2019-02-16_04:00",423,0.97,9005
"7",7,"2019-02-16_05:00",515,0.96,11239
"8",8,"2019-02-16_06:00",597,0.96,13161
"9",9,"2019-02-16_07:00",672,0.96,14772
"10",10,"2019-02-16_08:00",743,0.96,16391
"11",11,"2019-02-16_09:00",813,0.95,17917
"12",12,"2019-02-16_10:00",863,0.95,19234
"13",13,"2019-02-16_11:00",910,0.95,20605
"14",14,"2019-02-16_12:00",938,0.95,21881
"15",15,"2019-02-16_13:00",969,0.94,23079
"16",16,"2019-02-16_14:00",1005,0.94,24232
"17",17,"2019-02-16_15:00",1012,0.94,24397
"18",18,"2019-02-16_16:00",1014,0.94,24510
"19",19,"2019-02-16_17:00",1015,0.94,24556
"20",20,"2019-02-16_18:00",1021,0.94,24614
"21",21,"2019-02-16_19:00",1022,0.94,24666
"22",22,"2019-02-16_20:00",1026,0.94,24666
"23",23,"2019-02-16_21:00",1027,0.94,24684
"24",24,"2019-02-16_22:00",1033,0.94,24692
"25",25,"2019-02-16_23:00",1037,0.94,24711
"26",26,"2019-02-17_00:00",1039,0.94,24711
"27",27,"2019-02-17_01:00",1040,0.94,24726
"28",28,"2019-02-17_02:00",1042,0.94,24732
"29",29,"2019-02-17_03:00",1043,0.94,24747
"30",30,"2019-02-17_04:00",1043,0.94,24749
"31",31,"2019-02-17_05:00",1044,0.94,24748
"32",32,"2019-02-17_06:00",1044,0.94,24757
"33",33,"2019-02-17_07:00",1045,0.94,24757
"34",34,"2019-02-17_08:00",1045,0.94,24760
"35",35,"2019-02-17_09:00",1045,0.94,24767
"36",36,"2019-02-17_10:00",1045,0.94,24773
"37",37,"2019-02-17_11:00",1045,0.94,24764
