"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-16_00:00",3,0.94,56
"2",2,"2019-02-16_01:00",13,0.98,181
"3",3,"2019-02-16_02:00",24,0.96,257
"4",4,"2019-02-16_03:00",25,0.96,287
"5",5,"2019-02-16_04:00",27,0.96,314
"6",6,"2019-02-16_05:00",28,0.95,357
"7",7,"2019-02-16_06:00",31,0.96,389
"8",8,"2019-02-16_07:00",33,0.96,416
"9",9,"2019-02-16_08:00",34,0.96,442
"10",10,"2019-02-16_09:00",35,0.96,477
"11",11,"2019-02-16_10:00",36,0.96,490
"12",12,"2019-02-16_11:00",39,0.96,528
"13",13,"2019-02-16_12:00",41,0.96,564
"14",14,"2019-02-16_13:00",41,0.96,590
"15",15,"2019-02-16_14:00",42,0.96,643
"16",16,"2019-02-16_15:00",42,0.96,643
"17",17,"2019-02-16_16:00",43,0.96,640
"18",18,"2019-02-16_17:00",43,0.96,643
"19",19,"2019-02-16_18:00",43,0.96,649
"20",20,"2019-02-16_19:00",43,0.96,654
"21",21,"2019-02-16_20:00",44,0.96,656
"22",22,"2019-02-16_21:00",44,0.96,657
"23",23,"2019-02-16_22:00",44,0.96,667
"24",24,"2019-02-16_23:00",44,0.96,669
"25",25,"2019-02-17_00:00",45,0.96,664
"26",26,"2019-02-17_01:00",45,0.96,663
"27",27,"2019-02-17_02:00",45,0.96,668
"28",28,"2019-02-17_03:00",45,0.96,666
"29",29,"2019-02-17_04:00",45,0.96,668
"30",30,"2019-02-17_05:00",45,0.96,671
