"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-16_00:00",5,0.86,35
"2",2,"2019-02-16_01:00",23,0.86,147
"3",3,"2019-02-16_02:00",45,0.88,316
"4",4,"2019-02-16_03:00",55,0.87,417
"5",5,"2019-02-16_04:00",74,0.88,566
"6",6,"2019-02-16_05:00",105,0.88,703
"7",7,"2019-02-16_06:00",126,0.89,849
"8",8,"2019-02-16_07:00",154,0.89,1041
"9",9,"2019-02-16_08:00",177,0.89,1256
"10",10,"2019-02-16_09:00",193,0.89,1494
"11",11,"2019-02-16_10:00",217,0.89,1772
"12",12,"2019-02-16_11:00",253,0.89,2128
"13",13,"2019-02-16_12:00",286,0.89,2557
"14",14,"2019-02-16_13:00",306,0.89,3060
"15",15,"2019-02-16_14:00",348,0.89,3685
"16",16,"2019-02-16_15:00",350,0.89,3789
"17",17,"2019-02-16_16:00",354,0.89,3861
"18",18,"2019-02-16_17:00",355,0.89,3916
"19",19,"2019-02-16_18:00",356,0.89,3945
"20",20,"2019-02-16_19:00",356,0.89,3972
"21",21,"2019-02-16_20:00",358,0.89,3975
"22",22,"2019-02-16_21:00",360,0.89,3996
"23",23,"2019-02-16_22:00",361,0.89,4005
"24",24,"2019-02-16_23:00",363,0.89,4012
"25",25,"2019-02-17_00:00",364,0.89,4014
"26",26,"2019-02-17_01:00",367,0.89,4020
"27",27,"2019-02-17_02:00",367,0.89,4037
"28",28,"2019-02-17_03:00",370,0.89,4050
"29",29,"2019-02-17_04:00",370,0.89,4052
"30",30,"2019-02-17_05:00",371,0.89,4057
"31",31,"2019-02-17_06:00",372,0.89,4056
"32",32,"2019-02-17_07:00",372,0.89,4060
"33",33,"2019-02-17_08:00",372,0.89,4063
"34",34,"2019-02-17_09:00",372,0.89,4068
"35",35,"2019-02-17_10:00",373,0.89,4062
"36",36,"2019-02-17_11:00",373,0.89,4066
"37",37,"2019-02-17_12:00",376,0.89,4067
"38",38,"2019-02-17_13:00",383,0.89,4073
"39",39,"2019-02-17_14:00",383,0.89,4065
"40",40,"2019-02-17_15:00",384,0.89,4070
"41",41,"2019-02-17_16:00",384,0.89,4070
