"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-16_03:00",1,0.96,21
"2",2,"2019-02-16_04:00",1,0.93,24
"3",3,"2019-02-16_05:00",1,0.92,27
"4",4,"2019-02-16_06:00",3,0.87,30
"5",5,"2019-02-16_07:00",4,0.86,32
"6",6,"2019-02-16_08:00",4,0.83,35
"7",7,"2019-02-16_09:00",5,0.83,38
"8",8,"2019-02-16_10:00",5,0.84,45
"9",9,"2019-02-16_11:00",6,0.84,50
"10",10,"2019-02-16_12:00",6,0.85,54
"11",11,"2019-02-16_13:00",6,0.86,58
"12",12,"2019-02-16_14:00",6,0.87,64
"13",13,"2019-02-16_15:00",6,0.86,66
"14",14,"2019-02-16_16:00",6,0.86,66
"15",15,"2019-02-16_17:00",6,0.86,65
"16",16,"2019-02-16_18:00",6,0.87,70
"17",17,"2019-02-16_19:00",6,0.88,72
"18",18,"2019-02-16_20:00",6,0.87,70
