"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-16_10:00",1,0.87,6
"2",2,"2019-02-16_11:00",1,0.89,7
"3",3,"2019-02-16_12:00",1,0.87,6
"4",4,"2019-02-16_13:00",1,0.89,7
"5",5,"2019-02-16_14:00",1,0.9,8
"6",6,"2019-02-16_15:00",1,0.89,7
"7",7,"2019-02-16_16:00",1,0.89,7
"8",8,"2019-02-16_17:00",1,0.82,7
"9",9,"2019-02-16_18:00",1,0.91,9
"10",10,"2019-02-16_19:00",1,0.92,10
"11",11,"2019-02-16_20:00",1,0.86,10
"12",12,"2019-02-16_21:00",1,0.92,11
"13",13,"2019-02-16_22:00",1,0.92,10
"14",14,"2019-02-16_23:00",1,0.92,11
