"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-16_10:00",9,0.9,29
"2",2,"2019-02-16_11:00",12,0.82,32
"3",3,"2019-02-16_12:00",16,0.88,58
"4",4,"2019-02-16_13:00",20,0.94,95
"5",5,"2019-02-16_14:00",36,0.95,203
"6",6,"2019-02-16_15:00",40,0.95,223
"7",7,"2019-02-16_16:00",45,0.95,245
"8",8,"2019-02-16_17:00",46,0.95,252
"9",9,"2019-02-16_18:00",46,0.95,261
"10",10,"2019-02-16_19:00",46,0.95,275
"11",11,"2019-02-16_20:00",47,0.95,278
"12",12,"2019-02-16_21:00",48,0.95,292
"13",13,"2019-02-16_22:00",51,0.95,294
"14",14,"2019-02-16_23:00",51,0.95,297
"15",15,"2019-02-17_00:00",52,0.95,316
"16",16,"2019-02-17_01:00",55,0.95,325
"17",17,"2019-02-17_02:00",58,0.95,343
"18",18,"2019-02-17_03:00",62,0.95,348
"19",19,"2019-02-17_04:00",62,0.95,349
"20",20,"2019-02-17_05:00",63,0.95,354
"21",21,"2019-02-17_06:00",63,0.95,351
"22",22,"2019-02-17_07:00",63,0.95,353
"23",23,"2019-02-17_08:00",64,0.95,361
"24",24,"2019-02-17_09:00",64,0.95,356
"25",25,"2019-02-17_10:00",64,0.95,355
"26",26,"2019-02-17_11:00",64,0.95,359
"27",27,"2019-02-17_12:00",64,0.95,359
"28",28,"2019-02-17_13:00",64,0.95,359
"29",29,"2019-02-17_14:00",64,0.95,358
"30",30,"2019-02-17_15:00",64,0.95,359
"31",31,"2019-02-17_16:00",64,0.95,359
