"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-16_10:00",7,0.9,30
"2",2,"2019-02-16_11:00",8,0.88,49
"3",3,"2019-02-16_12:00",26,0.91,83
"4",4,"2019-02-16_13:00",41,0.94,224
"5",5,"2019-02-16_14:00",112,0.95,1313
"6",6,"2019-02-16_15:00",221,0.95,2313
"7",7,"2019-02-16_16:00",338,0.95,3932
"8",8,"2019-02-16_17:00",438,0.95,5379
"9",9,"2019-02-16_18:00",506,0.95,6635
"10",10,"2019-02-16_19:00",568,0.94,7691
"11",11,"2019-02-16_20:00",615,0.94,8568
"12",12,"2019-02-16_21:00",706,0.94,9355
"13",13,"2019-02-16_22:00",755,0.94,10102
"14",14,"2019-02-16_23:00",787,0.94,10884
"15",15,"2019-02-17_00:00",851,0.93,11849
"16",16,"2019-02-17_01:00",931,0.93,13014
"17",17,"2019-02-17_02:00",1042,0.93,14432
"18",18,"2019-02-17_03:00",1109,0.93,15067
"19",19,"2019-02-17_04:00",1171,0.93,15190
"20",20,"2019-02-17_05:00",1223,0.93,15284
"21",21,"2019-02-17_06:00",1246,0.93,15345
"22",22,"2019-02-17_07:00",1255,0.93,15390
"23",23,"2019-02-17_08:00",1267,0.93,15418
"24",24,"2019-02-17_09:00",1282,0.93,15434
"25",25,"2019-02-17_10:00",1291,0.93,15451
"26",26,"2019-02-17_11:00",1299,0.93,15458
"27",27,"2019-02-17_12:00",1307,0.93,15464
"28",28,"2019-02-17_13:00",1316,0.93,15475
"29",29,"2019-02-17_14:00",1323,0.93,15481
"30",30,"2019-02-17_15:00",1325,0.93,15486
"31",31,"2019-02-17_16:00",1330,0.93,15482
