"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-13_13:00",13,0.87,60
"2",2,"2019-02-13_14:00",14,0.87,73
"3",3,"2019-02-13_15:00",16,0.89,84
"4",4,"2019-02-13_16:00",16,0.91,97
"5",5,"2019-02-13_17:00",16,0.92,104
"6",6,"2019-02-13_18:00",16,0.92,118
"7",7,"2019-02-13_19:00",18,0.92,125
"8",8,"2019-02-13_20:00",20,0.92,137
"9",9,"2019-02-13_21:00",20,0.93,143
"10",10,"2019-02-13_22:00",20,0.93,149
"11",11,"2019-02-13_23:00",21,0.93,156
"12",12,"2019-02-14_00:00",22,0.93,161
"13",13,"2019-02-14_01:00",22,0.93,166
"14",14,"2019-02-14_02:00",23,0.93,169
"15",15,"2019-02-14_03:00",22,0.93,172
"16",16,"2019-02-14_04:00",22,0.93,175
"17",17,"2019-02-14_05:00",23,0.93,176
"18",18,"2019-02-14_06:00",23,0.93,182
"19",19,"2019-02-14_07:00",24,0.93,184
"20",20,"2019-02-14_08:00",24,0.93,186
"21",21,"2019-02-14_09:00",24,0.93,192
"22",22,"2019-02-14_10:00",24,0.93,194
"23",23,"2019-02-14_11:00",24,0.93,189
"24",24,"2019-02-14_12:00",24,0.93,193
