"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-13_15:00",2,0.83,4
"2",2,"2019-02-13_16:00",4,0.84,13
"3",3,"2019-02-13_17:00",8,0.88,36
"4",4,"2019-02-13_18:00",11,0.88,66
"5",5,"2019-02-13_19:00",18,0.91,93
"6",6,"2019-02-13_20:00",20,0.93,120
"7",7,"2019-02-13_21:00",21,0.93,137
"8",8,"2019-02-13_22:00",23,0.93,162
"9",9,"2019-02-13_23:00",24,0.93,184
"10",10,"2019-02-14_00:00",29,0.94,221
"11",11,"2019-02-14_01:00",31,0.94,258
"12",12,"2019-02-14_02:00",37,0.94,284
"13",13,"2019-02-14_03:00",39,0.95,308
"14",14,"2019-02-14_04:00",49,0.95,314
"15",15,"2019-02-14_05:00",54,0.95,332
"16",16,"2019-02-14_06:00",54,0.95,349
"17",17,"2019-02-14_07:00",55,0.95,345
"18",18,"2019-02-14_08:00",57,0.95,356
"19",19,"2019-02-14_09:00",61,0.95,358
"20",20,"2019-02-14_10:00",62,0.95,360
"21",21,"2019-02-14_11:00",64,0.95,367
"22",22,"2019-02-14_12:00",64,0.95,371
"23",23,"2019-02-14_13:00",64,0.95,372
"24",24,"2019-02-14_14:00",69,0.95,377
"25",25,"2019-02-14_15:00",69,0.95,372
"26",26,"2019-02-14_16:00",70,0.95,375
"27",27,"2019-02-14_17:00",71,0.95,373
"28",28,"2019-02-14_18:00",71,0.95,372
"29",29,"2019-02-14_19:00",71,0.95,372
"30",30,"2019-02-14_20:00",71,0.95,381
"31",31,"2019-02-14_21:00",71,0.95,378
"32",32,"2019-02-14_22:00",71,0.95,375
"33",33,"2019-02-14_23:00",71,0.95,380
"34",34,"2019-02-15_00:00",71,0.95,384
"35",35,"2019-02-15_01:00",71,0.95,375
