"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-13_21:00",4,0.89,68
"2",2,"2019-02-13_22:00",6,0.93,90
"3",3,"2019-02-13_23:00",7,0.95,139
"4",4,"2019-02-14_00:00",15,0.96,229
"5",5,"2019-02-14_01:00",31,0.97,393
"6",6,"2019-02-14_02:00",43,0.96,536
"7",7,"2019-02-14_03:00",60,0.96,671
"8",8,"2019-02-14_04:00",67,0.97,721
"9",9,"2019-02-14_05:00",74,0.97,752
"10",10,"2019-02-14_06:00",81,0.96,776
"11",11,"2019-02-14_07:00",81,0.97,792
"12",12,"2019-02-14_08:00",86,0.97,815
"13",13,"2019-02-14_09:00",91,0.97,822
"14",14,"2019-02-14_10:00",91,0.97,831
"15",15,"2019-02-14_11:00",93,0.96,846
"16",16,"2019-02-14_12:00",93,0.96,848
"17",17,"2019-02-14_13:00",93,0.96,854
"18",18,"2019-02-14_14:00",93,0.96,869
"19",19,"2019-02-14_15:00",93,0.96,873
"20",20,"2019-02-14_16:00",93,0.96,878
"21",21,"2019-02-14_17:00",93,0.96,883
"22",22,"2019-02-14_18:00",93,0.96,886
"23",23,"2019-02-14_19:00",93,0.96,888
"24",24,"2019-02-14_20:00",93,0.96,896
"25",25,"2019-02-14_21:00",93,0.96,899
"26",26,"2019-02-14_22:00",93,0.96,905
"27",27,"2019-02-14_23:00",93,0.96,901
"28",28,"2019-02-15_00:00",93,0.96,900
