"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-13_21:00",46,0.81,22
"2",2,"2019-02-13_22:00",50,0.79,22
"3",3,"2019-02-13_23:00",56,0.81,33
"4",4,"2019-02-14_00:00",70,0.82,49
"5",5,"2019-02-14_01:00",82,0.84,62
"6",6,"2019-02-14_02:00",96,0.86,78
"7",7,"2019-02-14_03:00",104,0.87,89
"8",8,"2019-02-14_04:00",114,0.89,102
"9",9,"2019-02-14_05:00",121,0.9,112
"10",10,"2019-02-14_06:00",133,0.9,112
"11",11,"2019-02-14_07:00",137,0.9,122
"12",12,"2019-02-14_08:00",147,0.9,125
"13",13,"2019-02-14_09:00",150,0.9,129
"14",14,"2019-02-14_10:00",155,0.91,133
"15",15,"2019-02-14_11:00",160,0.91,132
"16",16,"2019-02-14_12:00",163,0.91,130
"17",17,"2019-02-14_13:00",165,0.91,138
"18",18,"2019-02-14_14:00",166,0.91,137
"19",19,"2019-02-14_15:00",167,0.91,137
"20",20,"2019-02-14_16:00",167,0.91,138
"21",21,"2019-02-14_17:00",167,0.91,143
"22",22,"2019-02-14_18:00",168,0.91,145
"23",23,"2019-02-14_19:00",168,0.91,142
"24",24,"2019-02-14_20:00",169,0.91,145
"25",25,"2019-02-14_21:00",169,0.91,140
"26",26,"2019-02-14_22:00",170,0.91,146
"27",27,"2019-02-14_23:00",170,0.91,144
"28",28,"2019-02-15_00:00",174,0.91,141
"29",29,"2019-02-15_01:00",174,0.91,144
"30",30,"2019-02-15_02:00",174,0.91,146
"31",31,"2019-02-15_03:00",174,0.91,147
"32",32,"2019-02-15_04:00",174,0.91,143
"33",33,"2019-02-15_05:00",175,0.91,146
"34",34,"2019-02-15_06:00",175,0.91,146
"35",35,"2019-02-15_07:00",175,0.91,144
