"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-14_08:00",314,0.95,1214
"2",2,"2019-02-14_09:00",333,0.95,1284
"3",3,"2019-02-14_10:00",343,0.95,1375
"4",4,"2019-02-14_11:00",353,0.95,1466
"5",5,"2019-02-14_12:00",365,0.95,1531
"6",6,"2019-02-14_13:00",377,0.95,1589
"7",7,"2019-02-14_14:00",378,0.96,1642
"8",8,"2019-02-14_15:00",385,0.96,1693
"9",9,"2019-02-14_16:00",390,0.96,1751
"10",10,"2019-02-14_17:00",396,0.96,1787
"11",11,"2019-02-14_18:00",406,0.96,1800
"12",12,"2019-02-14_19:00",413,0.96,1810
"13",13,"2019-02-14_20:00",415,0.96,1832
"14",14,"2019-02-14_21:00",418,0.96,1839
"15",15,"2019-02-14_22:00",426,0.96,1841
"16",16,"2019-02-14_23:00",430,0.96,1849
"17",17,"2019-02-15_00:00",433,0.96,1865
"18",18,"2019-02-15_01:00",435,0.96,1871
"19",19,"2019-02-15_02:00",437,0.96,1869
"20",20,"2019-02-15_03:00",445,0.96,1878
"21",21,"2019-02-15_04:00",449,0.96,1881
"22",22,"2019-02-15_05:00",457,0.96,1881
"23",23,"2019-02-15_06:00",461,0.96,1883
"24",24,"2019-02-15_07:00",462,0.96,1895
"25",25,"2019-02-15_08:00",462,0.96,1887
"26",26,"2019-02-15_09:00",463,0.96,1893
"27",27,"2019-02-15_10:00",463,0.96,1894
"28",28,"2019-02-15_11:00",463,0.95,1890
"29",29,"2019-02-15_12:00",463,0.95,1897
"30",30,"2019-02-15_13:00",463,0.95,1895
"31",31,"2019-02-15_14:00",463,0.95,1899
"32",32,"2019-02-15_15:00",464,0.95,1898
"33",33,"2019-02-15_16:00",464,0.95,1898
"34",34,"2019-02-15_17:00",464,0.95,1896
"35",35,"2019-02-15_18:00",464,0.95,1900
"36",36,"2019-02-15_19:00",464,0.95,1898
"37",37,"2019-02-15_20:00",464,0.95,1899
"38",38,"2019-02-15_21:00",464,0.95,1899
