"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-14_08:00",44,0.94,219
"2",2,"2019-02-14_09:00",45,0.94,235
"3",3,"2019-02-14_10:00",50,0.95,266
"4",4,"2019-02-14_11:00",59,0.94,292
"5",5,"2019-02-14_12:00",61,0.95,316
"6",6,"2019-02-14_13:00",65,0.95,327
"7",7,"2019-02-14_14:00",70,0.95,344
"8",8,"2019-02-14_15:00",72,0.94,360
"9",9,"2019-02-14_16:00",72,0.95,381
"10",10,"2019-02-14_17:00",72,0.95,403
"11",11,"2019-02-14_18:00",73,0.95,407
"12",12,"2019-02-14_19:00",73,0.95,414
"13",13,"2019-02-14_20:00",73,0.95,421
"14",14,"2019-02-14_21:00",75,0.95,421
"15",15,"2019-02-14_22:00",75,0.95,425
"16",16,"2019-02-14_23:00",75,0.95,436
"17",17,"2019-02-15_00:00",75,0.95,442
"18",18,"2019-02-15_01:00",75,0.95,440
"19",19,"2019-02-15_02:00",75,0.95,443
"20",20,"2019-02-15_03:00",76,0.95,446
"21",21,"2019-02-15_04:00",77,0.95,442
"22",22,"2019-02-15_05:00",80,0.95,450
"23",23,"2019-02-15_06:00",81,0.95,455
"24",24,"2019-02-15_07:00",81,0.95,454
"25",25,"2019-02-15_08:00",81,0.95,458
"26",26,"2019-02-15_09:00",81,0.95,461
"27",27,"2019-02-15_10:00",81,0.95,458
"28",28,"2019-02-15_11:00",81,0.95,460
"29",29,"2019-02-15_12:00",81,0.95,458
"30",30,"2019-02-15_13:00",81,0.95,465
"31",31,"2019-02-15_14:00",81,0.95,454
