"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-14_15:00",39,0.92,103
"2",2,"2019-02-14_16:00",43,0.92,114
"3",3,"2019-02-14_17:00",48,0.93,146
"4",4,"2019-02-14_18:00",51,0.93,165
"5",5,"2019-02-14_19:00",60,0.93,172
"6",6,"2019-02-14_20:00",64,0.94,190
"7",7,"2019-02-14_21:00",70,0.94,197
"8",8,"2019-02-14_22:00",72,0.94,206
"9",9,"2019-02-14_23:00",74,0.95,218
"10",10,"2019-02-15_00:00",79,0.94,228
"11",11,"2019-02-15_01:00",83,0.95,234
"12",12,"2019-02-15_02:00",87,0.95,242
"13",13,"2019-02-15_03:00",96,0.95,251
"14",14,"2019-02-15_04:00",102,0.95,260
"15",15,"2019-02-15_05:00",111,0.95,277
"16",16,"2019-02-15_06:00",117,0.95,283
"17",17,"2019-02-15_07:00",124,0.95,283
"18",18,"2019-02-15_08:00",125,0.95,289
"19",19,"2019-02-15_09:00",126,0.96,294
"20",20,"2019-02-15_10:00",126,0.96,297
"21",21,"2019-02-15_11:00",126,0.95,302
"22",22,"2019-02-15_12:00",127,0.95,304
"23",23,"2019-02-15_13:00",127,0.95,303
"24",24,"2019-02-15_14:00",127,0.95,307
"25",25,"2019-02-15_15:00",127,0.95,309
"26",26,"2019-02-15_16:00",127,0.96,311
"27",27,"2019-02-15_17:00",127,0.96,312
"28",28,"2019-02-15_18:00",128,0.96,312
"29",29,"2019-02-15_19:00",128,0.96,313
"30",30,"2019-02-15_20:00",128,0.96,309
"31",31,"2019-02-15_21:00",128,0.96,311
"32",32,"2019-02-15_22:00",128,0.96,318
"33",33,"2019-02-15_23:00",128,0.96,316
"34",34,"2019-02-16_00:00",128,0.96,313
"35",35,"2019-02-16_01:00",129,0.96,316
"36",36,"2019-02-16_02:00",129,0.96,311
"37",37,"2019-02-16_03:00",130,0.96,313
"38",38,"2019-02-16_04:00",134,0.96,312
"39",39,"2019-02-16_05:00",134,0.96,318
"40",40,"2019-02-16_06:00",134,0.96,313
