"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-14_15:00",42,0.59,6
"2",2,"2019-02-14_16:00",42,0.57,5
"3",3,"2019-02-14_17:00",43,0.62,9
"4",4,"2019-02-14_18:00",45,0.62,9
"5",5,"2019-02-14_19:00",45,0.62,10
"6",6,"2019-02-14_20:00",47,0.61,9
"7",7,"2019-02-14_21:00",48,0.62,10
"8",8,"2019-02-14_22:00",52,0.64,12
"9",9,"2019-02-14_23:00",52,0.63,12
"10",10,"2019-02-15_00:00",53,0.62,11
"11",11,"2019-02-15_01:00",55,0.62,12
"12",12,"2019-02-15_02:00",56,0.63,12
"13",13,"2019-02-15_03:00",56,0.65,15
"14",14,"2019-02-15_04:00",58,0.61,11
"15",15,"2019-02-15_05:00",62,0.62,12
"16",16,"2019-02-15_06:00",64,0.64,15
"17",17,"2019-02-15_07:00",64,0.65,16
"18",18,"2019-02-15_08:00",64,0.64,15
"19",19,"2019-02-15_09:00",68,0.68,20
"20",20,"2019-02-15_10:00",68,0.66,19
"21",21,"2019-02-15_11:00",68,0.66,18
"22",22,"2019-02-15_12:00",68,0.67,19
"23",23,"2019-02-15_13:00",68,0.66,18
"24",24,"2019-02-15_14:00",68,0.66,19
"25",25,"2019-02-15_15:00",68,0.67,19
"26",26,"2019-02-15_16:00",68,0.67,20
"27",27,"2019-02-15_17:00",68,0.67,20
"28",28,"2019-02-15_18:00",70,0.63,16
"29",29,"2019-02-15_19:00",72,0.66,19
"30",30,"2019-02-15_20:00",72,0.64,17
"31",31,"2019-02-15_21:00",72,0.67,21
