"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-14_15:00",17,0.85,28
"2",2,"2019-02-14_16:00",17,0.86,34
"3",3,"2019-02-14_17:00",22,0.83,47
"4",4,"2019-02-14_18:00",35,0.85,56
"5",5,"2019-02-14_19:00",35,0.82,57
"6",6,"2019-02-14_20:00",38,0.84,65
"7",7,"2019-02-14_21:00",38,0.84,65
"8",8,"2019-02-14_22:00",39,0.85,68
"9",9,"2019-02-14_23:00",42,0.87,75
"10",10,"2019-02-15_00:00",44,0.88,85
"11",11,"2019-02-15_01:00",44,0.89,87
"12",12,"2019-02-15_02:00",50,0.91,100
"13",13,"2019-02-15_03:00",51,0.91,100
"14",14,"2019-02-15_04:00",54,0.92,105
"15",15,"2019-02-15_05:00",56,0.92,110
"16",16,"2019-02-15_06:00",56,0.92,121
"17",17,"2019-02-15_07:00",57,0.92,122
"18",18,"2019-02-15_08:00",59,0.93,123
"19",19,"2019-02-15_09:00",61,0.93,121
"20",20,"2019-02-15_10:00",62,0.93,127
"21",21,"2019-02-15_11:00",62,0.92,129
"22",22,"2019-02-15_12:00",62,0.92,129
"23",23,"2019-02-15_13:00",63,0.92,129
"24",24,"2019-02-15_14:00",66,0.92,130
"25",25,"2019-02-15_15:00",66,0.92,131
"26",26,"2019-02-15_16:00",66,0.92,129
"27",27,"2019-02-15_17:00",66,0.92,129
"28",28,"2019-02-15_18:00",68,0.92,133
"29",29,"2019-02-15_19:00",68,0.92,131
"30",30,"2019-02-15_20:00",68,0.92,130
"31",31,"2019-02-15_21:00",69,0.92,132
"32",32,"2019-02-15_22:00",69,0.92,135
"33",33,"2019-02-15_23:00",69,0.92,135
"34",34,"2019-02-16_00:00",69,0.92,133
