"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_08:00",272,0.87,323
"2",2,"2019-02-15_09:00",290,0.87,347
"3",3,"2019-02-15_10:00",300,0.87,372
"4",4,"2019-02-15_11:00",307,0.88,394
"5",5,"2019-02-15_12:00",326,0.88,411
"6",6,"2019-02-15_13:00",330,0.88,432
"7",7,"2019-02-15_14:00",334,0.88,442
"8",8,"2019-02-15_15:00",338,0.88,448
"9",9,"2019-02-15_16:00",338,0.88,457
"10",10,"2019-02-15_17:00",342,0.88,462
"11",11,"2019-02-15_18:00",344,0.89,480
"12",12,"2019-02-15_19:00",345,0.89,483
"13",13,"2019-02-15_20:00",347,0.88,492
"14",14,"2019-02-15_21:00",351,0.89,493
"15",15,"2019-02-15_22:00",362,0.89,489
"16",16,"2019-02-15_23:00",362,0.89,496
"17",17,"2019-02-16_00:00",363,0.89,493
"18",18,"2019-02-16_01:00",363,0.89,501
"19",19,"2019-02-16_02:00",365,0.89,504
"20",20,"2019-02-16_03:00",366,0.89,499
"21",21,"2019-02-16_04:00",366,0.89,508
"22",22,"2019-02-16_05:00",366,0.89,508
"23",23,"2019-02-16_06:00",366,0.89,506
"24",24,"2019-02-16_07:00",366,0.89,504
"25",25,"2019-02-16_08:00",366,0.89,503
"26",26,"2019-02-16_09:00",367,0.89,508
"27",27,"2019-02-16_10:00",367,0.89,509
"28",28,"2019-02-16_11:00",368,0.89,505
"29",29,"2019-02-16_12:00",370,0.89,503
"30",30,"2019-02-16_13:00",370,0.89,513
"31",31,"2019-02-16_14:00",370,0.89,514
"32",32,"2019-02-16_15:00",370,0.89,511
"33",33,"2019-02-16_16:00",370,0.89,515
