"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_08:00",224,0.98,548
"2",2,"2019-02-15_09:00",263,0.98,672
"3",3,"2019-02-15_10:00",317,0.98,767
"4",4,"2019-02-15_11:00",334,0.98,848
"5",5,"2019-02-15_12:00",355,0.98,914
"6",6,"2019-02-15_13:00",375,0.98,973
"7",7,"2019-02-15_14:00",393,0.98,1022
"8",8,"2019-02-15_15:00",404,0.98,1071
"9",9,"2019-02-15_16:00",412,0.98,1110
"10",10,"2019-02-15_17:00",426,0.97,1140
"11",11,"2019-02-15_18:00",435,0.97,1180
"12",12,"2019-02-15_19:00",452,0.97,1220
"13",13,"2019-02-15_20:00",455,0.97,1233
"14",14,"2019-02-15_21:00",465,0.98,1239
"15",15,"2019-02-15_22:00",471,0.98,1246
"16",16,"2019-02-15_23:00",473,0.97,1248
"17",17,"2019-02-16_00:00",478,0.97,1254
"18",18,"2019-02-16_01:00",484,0.97,1258
"19",19,"2019-02-16_02:00",489,0.97,1259
"20",20,"2019-02-16_03:00",491,0.97,1262
"21",21,"2019-02-16_04:00",498,0.97,1270
"22",22,"2019-02-16_05:00",500,0.98,1271
"23",23,"2019-02-16_06:00",502,0.98,1272
"24",24,"2019-02-16_07:00",502,0.98,1275
"25",25,"2019-02-16_08:00",504,0.98,1270
"26",26,"2019-02-16_09:00",507,0.98,1272
"27",27,"2019-02-16_10:00",508,0.98,1280
"28",28,"2019-02-16_11:00",516,0.98,1285
"29",29,"2019-02-16_12:00",517,0.98,1277
"30",30,"2019-02-16_13:00",518,0.98,1288
"31",31,"2019-02-16_14:00",519,0.98,1284
"32",32,"2019-02-16_15:00",520,0.98,1285
"33",33,"2019-02-16_16:00",520,0.98,1287
"34",34,"2019-02-16_17:00",521,0.98,1284
"35",35,"2019-02-16_18:00",521,0.98,1286
"36",36,"2019-02-16_19:00",522,0.98,1283
"37",37,"2019-02-16_20:00",522,0.98,1286
"38",38,"2019-02-16_21:00",522,0.98,1290
"39",39,"2019-02-16_22:00",523,0.98,1285
"40",40,"2019-02-16_23:00",523,0.98,1286
"41",41,"2019-02-17_00:00",523,0.98,1283
"42",42,"2019-02-17_01:00",524,0.98,1294
"43",43,"2019-02-17_02:00",524,0.98,1288
"44",44,"2019-02-17_03:00",524,0.98,1292
"45",45,"2019-02-17_04:00",526,0.98,1296
"46",46,"2019-02-17_05:00",526,0.98,1290
