"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_08:00",27,0.93,74
"2",2,"2019-02-15_09:00",31,0.94,80
"3",3,"2019-02-15_10:00",33,0.95,85
"4",4,"2019-02-15_11:00",34,0.94,86
"5",5,"2019-02-15_12:00",34,0.96,98
"6",6,"2019-02-15_13:00",35,0.95,94
"7",7,"2019-02-15_14:00",37,0.96,99
"8",8,"2019-02-15_15:00",42,0.96,104
"9",9,"2019-02-15_16:00",43,0.96,109
"10",10,"2019-02-15_17:00",46,0.95,112
"11",11,"2019-02-15_18:00",48,0.95,117
"12",12,"2019-02-15_19:00",50,0.95,115
"13",13,"2019-02-15_20:00",50,0.95,120
"14",14,"2019-02-15_21:00",52,0.95,119
"15",15,"2019-02-15_22:00",56,0.95,118
"16",16,"2019-02-15_23:00",56,0.95,117
"17",17,"2019-02-16_00:00",56,0.95,119
"18",18,"2019-02-16_01:00",59,0.95,119
"19",19,"2019-02-16_02:00",59,0.95,121
"20",20,"2019-02-16_03:00",60,0.95,125
"21",21,"2019-02-16_04:00",61,0.95,125
"22",22,"2019-02-16_05:00",64,0.95,124
"23",23,"2019-02-16_06:00",65,0.95,125
"24",24,"2019-02-16_07:00",65,0.95,130
"25",25,"2019-02-16_08:00",65,0.95,125
"26",26,"2019-02-16_09:00",65,0.95,125
"27",27,"2019-02-16_10:00",65,0.95,129
"28",28,"2019-02-16_11:00",65,0.95,123
"29",29,"2019-02-16_12:00",65,0.95,128
"30",30,"2019-02-16_13:00",65,0.95,126
"31",31,"2019-02-16_14:00",65,0.95,128
"32",32,"2019-02-16_15:00",65,0.95,127
