"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-15_08:00",125,0.96,129
"2",2,"2019-02-15_09:00",152,0.97,149
"3",3,"2019-02-15_10:00",165,0.97,162
"4",4,"2019-02-15_11:00",194,0.97,169
"5",5,"2019-02-15_12:00",199,0.97,182
"6",6,"2019-02-15_13:00",211,0.97,187
"7",7,"2019-02-15_14:00",229,0.97,191
"8",8,"2019-02-15_15:00",241,0.96,200
"9",9,"2019-02-15_16:00",246,0.97,205
"10",10,"2019-02-15_17:00",253,0.96,217
"11",11,"2019-02-15_18:00",260,0.96,218
"12",12,"2019-02-15_19:00",266,0.96,226
"13",13,"2019-02-15_20:00",267,0.96,228
"14",14,"2019-02-15_21:00",271,0.96,229
"15",15,"2019-02-15_22:00",275,0.96,228
"16",16,"2019-02-15_23:00",277,0.96,227
"17",17,"2019-02-16_00:00",277,0.96,227
"18",18,"2019-02-16_01:00",279,0.96,225
"19",19,"2019-02-16_02:00",281,0.96,234
"20",20,"2019-02-16_03:00",282,0.96,230
"21",21,"2019-02-16_04:00",283,0.96,233
"22",22,"2019-02-16_05:00",286,0.96,239
"23",23,"2019-02-16_06:00",288,0.96,240
"24",24,"2019-02-16_07:00",291,0.96,238
"25",25,"2019-02-16_08:00",291,0.96,235
"26",26,"2019-02-16_09:00",292,0.96,235
"27",27,"2019-02-16_10:00",292,0.96,243
"28",28,"2019-02-16_11:00",293,0.96,243
"29",29,"2019-02-16_12:00",297,0.96,240
"30",30,"2019-02-16_13:00",297,0.96,243
"31",31,"2019-02-16_14:00",297,0.96,239
"32",32,"2019-02-16_15:00",298,0.96,240
"33",33,"2019-02-16_16:00",298,0.96,240
"34",34,"2019-02-16_17:00",298,0.96,242
"35",35,"2019-02-16_18:00",298,0.96,239
"36",36,"2019-02-16_19:00",298,0.96,240
"37",37,"2019-02-16_20:00",298,0.96,246
"38",38,"2019-02-16_21:00",298,0.96,239
"39",39,"2019-02-16_22:00",298,0.96,242
"40",40,"2019-02-16_23:00",298,0.96,242
"41",41,"2019-02-17_00:00",298,0.96,244
"42",42,"2019-02-17_01:00",298,0.96,247
